[Gene ID]	[source_id]	[Product Description]	[Input ID]	
Tb927.3.1930	Tb927.3.1930:mRNA	pre-mrna-processing factor 17	Tb927.3.1930	
Tb927.3.1940	Tb927.3.1940:mRNA	TLP18.3, Psb32 and MOLO-1 founding proteins of phosphatase, putative	Tb927.3.1940	
Tb927.3.1960	Tb927.3.1960:mRNA	hypothetical protein, conserved	Tb927.3.1960	
Tb927.3.1970	Tb927.3.1970:mRNA	phosphopantothenoylcysteine synthetase, putative	Tb927.3.1970	
Tb927.3.1980	Tb927.3.1980:mRNA	hypothetical protein, conserved	Tb927.3.1980	
Tb927.3.1990	Tb927.3.1990:mRNA	Tetratricopeptide repeat, putative	Tb927.3.1990	
Tb927.3.2010	Tb927.3.2010:mRNA	hypothetical protein, conserved	Tb927.3.2010	
Tb927.3.2030	Tb927.3.2030.1:mRNA	acylphosphatase, putative	Tb927.3.2030	
Tb927.3.2030	Tb927.3.2030.2:mRNA	acylphosphatase, putative	Tb927.3.2030	
Tb927.3.2040	Tb927.3.2040:mRNA	kinesin, putative	Tb927.3.2040	
Tb927.3.2060	Tb927.3.2060:mRNA	STE20-like serine/threonine-protein kinase, putative	Tb927.3.2060	
Tb927.3.2080	Tb927.3.2080:mRNA	hypothetical protein, conserved	Tb927.3.2080	
Tb927.3.2090	Tb927.3.2090:mRNA	Xaa-Pro aminopeptidase, putative	Tb927.3.2090	
Tb927.3.2130	Tb927.3.2130:mRNA	RNA pseudouridylate synthase, putative	Tb927.3.2130	
Tb927.3.2140	Tb927.3.2140:mRNA	transcription activator, putative	Tb927.3.2140	
Tb927.3.2150	Tb927.3.2150:mRNA	protein phosphatase 2C, putative	Tb927.3.2150	
Tb927.3.2160	Tb927.3.2160:mRNA	Rieske-like [2Fe-2S] domain containing protein, putative	Tb927.3.2160	
Tb927.3.2170	Tb927.3.2170:mRNA	translation elongation factor EF-2, putative	Tb927.3.2170	
Tb927.3.2180	Tb927.3.2180:mRNA	Mitochondrial ATP synthase subunit, putative	Tb927.3.2180	
Tb927.3.2190	Tb927.3.2190:mRNA	Capping enzyme RNA triphosphatase 1	Tb927.3.2190	
Tb927.3.2200	Tb927.3.2200:mRNA	TPR repeat, putative	Tb927.3.2200	
Tb927.3.2210	Tb927.3.2210:mRNA	KIF-1 binding protein C terminal, putative	Tb927.3.2210	
Tb927.3.2220	Tb927.3.2220:mRNA	eukaryotic translation initiation factor 3 subunit j	Tb927.3.2220	
Tb927.3.2230	Tb927.3.2230:mRNA	succinyl-CoA synthetase alpha subunit, putative	Tb927.3.2230	
Tb927.3.2250	Tb927.3.2250:mRNA	hypothetical protein, conserved	Tb927.3.2250	
Tb927.3.2260	Tb927.3.2260:mRNA	Mitochondrial SSU ribosomal protein, putative	Tb927.3.2260	
Tb927.3.2280	Tb927.3.2280:mRNA	vacuolar sorting protein 33 , putative	Tb927.3.2280	
Tb927.3.2290	Tb927.3.2290:mRNA	chaperone protein DnaJ, putative	Tb927.3.2290	
Tb927.3.2300	Tb927.3.2300:mRNA	DNL zinc finger, putative	Tb927.3.2300	
Tb927.3.2310	Tb927.3.2310:mRNA	parkin coregulated gene protein	Tb927.3.2310	
Tb927.3.2320	Tb927.3.2320:mRNA	COP9 signalosome complex subunit 2, putative	Tb927.3.2320	
Tb927.3.2330	Tb927.3.2330:mRNA	kinetoplastid kinetochore protein 17	Tb927.3.2330	
Tb927.3.2360	Tb927.3.2360:mRNA	hypothetical protein, conserved	Tb927.3.2360	
Tb927.3.2370	Tb927.3.2370:mRNA	hypothetical protein, conserved	Tb927.3.2370	
Tb927.3.2380	Tb927.3.2380:mRNA	hypothetical protein, conserved	Tb927.3.2380	
Tb927.3.2390	Tb927.3.2390:mRNA	hypothetical protein, conserved	Tb927.3.2390	
Tb927.3.2400	Tb927.3.2400:mRNA	palmitoyl acyltransferase 10, putative	Tb927.3.2400	
Tb927.3.2410	Tb927.3.2410:mRNA	Peroxisome biogenesis factor 10	Tb927.3.2410	
Tb927.3.2450	Tb927.3.2450:mRNA	hypothetical protein, conserved	Tb927.3.2450	
Tb927.3.2460	Tb927.3.2460:mRNA	hypothetical protein, conserved	Tb927.3.2460	
Tb927.3.2470	Tb927.3.2470:mRNA	Pumilio homology domain family member 8	Tb927.3.2470	
Tb927.3.2480	Tb927.3.2480:mRNA	Arv1-like family, putative	Tb927.3.2480	
Tb927.3.2490	Tb927.3.2490:mRNA	hypothetical protein, conserved	Tb927.3.2490	
Tb927.3.2500	Tb927.3.2500:mRNA	Trypanosomal VSG domain containing protein, putative	Tb927.3.2500	
Tb927.3.2550	Tb927.3.2550:mRNA	hypothetical protein, conserved	Tb927.3.2550	
Tb927.3.2600	Tb927.3.2600:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.3.2600	
Tb927.3.2610	Tb927.3.2610:mRNA	GPI inositol deacylase 2	Tb927.3.2610	
Tb927.3.2620	Tb927.3.2620.1:mRNA	hypothetical protein, conserved	Tb927.3.2620	
Tb927.3.2620	Tb927.3.2620.2:mRNA	hypothetical protein, conserved	Tb927.3.2620	
Tb927.3.2640	Tb927.3.2640:mRNA	hypothetical protein, conserved	Tb927.3.2640	
Tb927.3.2660	Tb927.3.2660:mRNA	TatD related DNase, putative	Tb927.3.2660	
Tb927.3.2670	Tb927.3.2670:mRNA	hypothetical protein, conserved	Tb927.3.2670	
Tb927.3.2680	Tb927.3.2680:mRNA	Ubiquitin-like domain containing protein, putative	Tb927.3.2680	
Tb927.3.2690	Tb927.3.2690:mRNA	AGC/RSK family serine/threonine kinase, putative	Tb927.3.2690	
Tb927.3.2700	Tb927.3.2700:mRNA	hypothetical protein, conserved	Tb927.3.2700	
Tb927.3.2710	Tb927.3.2710:mRNA	6-phosphofructo-2-kinase 2	Tb927.3.2710	
Tb927.3.2730	Tb927.3.2730:mRNA	SUMO-interacting motif-containing protein	Tb927.3.2730	
Tb927.3.2740	Tb927.3.2740:mRNA	hypothetical protein, conserved	Tb927.3.2740	
Tb927.3.2760	Tb927.3.2760:mRNA	hypothetical protein, conserved	Tb927.3.2760	
Tb927.3.2770	Tb927.3.2770.1:mRNA	Mitochondrial processome subunit 3	Tb927.3.2770	
Tb927.3.2770	Tb927.3.2770.2:mRNA	Mitochondrial processome subunit 3	Tb927.3.2770	
Tb927.3.2790	Tb927.3.2790:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.3.2790	
Tb927.3.2800	Tb927.3.2800:mRNA	hypothetical protein	Tb927.3.2800	
Tb927.3.2820	Tb927.3.2820:mRNA	TFIIF-stimulated CTD phosphatase, putative	Tb927.3.2820	
Tb927.3.2830	Tb927.3.2830:mRNA	brix domain containing protein, putative	Tb927.3.2830	
Tb927.3.2840	Tb927.3.2840:mRNA	inorganic pyrophosphatase, putative	Tb927.3.2840	
Tb927.3.2860	Tb927.3.2860:mRNA	hypothetical protein, conserved	Tb927.3.2860	
Tb927.3.2870	Tb927.3.2870:mRNA	multicopper oxidase, putative	Tb927.3.2870	
Tb927.3.2880	Tb927.3.2880:mRNA	Mitochondrial ATP synthase subunit, putative	Tb927.3.2880	
Tb927.3.2890	Tb927.3.2890:mRNA	radial spoke protein RSP10, putative	Tb927.3.2890	
Tb927.3.2900	Tb927.3.2900:mRNA	eukaryotic translation initiation factor 2 subunit alpha	Tb927.3.2900	
Tb927.3.2910	Tb927.3.2910:mRNA	hypothetical protein, conserved	Tb927.3.2910	
Tb927.3.2920	Tb927.3.2920:mRNA	hypothetical protein, conserved	Tb927.3.2920	
Tb927.3.2930	Tb927.3.2930:mRNA	RNA-binding protein RBP6, putative	Tb927.3.2930	
Tb927.3.2960	Tb927.3.2960:mRNA	inosine-adenosine-guanosine-nucleosidehydrolase	Tb927.3.2960	
Tb927.3.2970	Tb927.3.2970:mRNA	hypothetical protein, conserved	Tb927.3.2970	
Tb927.3.2980	Tb927.3.2980:mRNA	mitochondrial carrier protein	Tb927.3.2980	
Tb927.3.2990	Tb927.3.2990:mRNA	hypothetical protein, conserved	Tb927.3.2990	
Tb927.3.3000	Tb927.3.3000:mRNA	Putative intraflagellar transport protein C3	Tb927.3.3000	
Tb927.3.3010	Tb927.3.3010:mRNA	hypothetical protein, conserved	Tb927.3.3010	
Tb927.3.3040	Tb927.3.3040:mRNA	Right handed beta helix region, putative	Tb927.3.3040	
Tb927.3.3050	Tb927.3.3050:mRNA	kinetoplast ribosomal PPR-repeat containing protein 20	Tb927.3.3050	
Tb927.3.3060	Tb927.3.3060:mRNA	hypothetical protein, conserved	Tb927.3.3060	
Tb927.3.3070	Tb927.3.3070:mRNA	3', 5'-cyclic nucleotide phosphodiesterase, putative	Tb927.3.3070	
Tb927.3.3080	Tb927.3.3080:mRNA	Serine/threonine-protein kinase NEK6, putative	Tb927.3.3080	
Tb927.3.3090	Tb927.3.3090:mRNA	helicase, putative	Tb927.3.3090	
Tb927.3.3110	Tb927.3.3110:mRNA	Condensin complex subunit 3, putative	Tb927.3.3110	
Tb927.3.3120	Tb927.3.3120:mRNA	hypothetical protein, conserved	Tb927.3.3120	
Tb927.3.3130	Tb927.3.3130:mRNA	Present in the outer mitochondrial membrane proteome 24	Tb927.3.3130	
Tb927.3.3140	Tb927.3.3140:mRNA	hypothetical protein, conserved	Tb927.3.3140	
Tb927.3.3150	Tb927.3.3150:mRNA	hypothetical protein, conserved	Tb927.3.3150	
Tb927.3.3160	Tb927.3.3160:mRNA	Nuclear poly(A) polymerase 1	Tb927.3.3160	
Tb927.3.3170	Tb927.3.3170:mRNA	SUMO-interacting motif-containing protein	Tb927.3.3170	
Tb927.3.3180	Tb927.3.3180:mRNA	Nucleoporin NUP98	Tb927.3.3180	
Tb927.3.3190	Tb927.3.3190:mRNA	Serine/threonine-protein kinase NEK7, putative	Tb927.3.3190	
Tb927.3.3200	Tb927.3.3200:mRNA	Domain of unknown function (DUF4586), putative	Tb927.3.3200	
Tb927.3.3210	Tb927.3.3210:mRNA	hypothetical protein	Tb927.3.3210	
Tb927.3.3220	Tb927.3.3220:mRNA	RNA polymerase-associated protein CTR9, putative	Tb927.3.3220	
Tb927.3.3230	Tb927.3.3230:mRNA	NOL1/NOP2/sun family, putative	Tb927.3.3230	
Tb927.3.3270	Tb927.3.3270:mRNA	ATP-dependent 6-phosphofructokinase, glycosomal	Tb927.3.3270	
Tb927.3.3280	Tb927.3.3280:mRNA	vacuolar protein sorting-associated protein 4, putative	Tb927.3.3280	
Tb927.3.3290	Tb927.3.3290:mRNA	protein kinase, putative	Tb927.3.3290	
Tb927.3.3310	Tb927.3.3310:mRNA	60S ribosomal protein L13, putative	Tb927.3.3310	
Tb927.3.3330	Tb927.3.3330:mRNA	heat shock protein 20, putative	Tb927.3.3330	
Tb927.3.3340	Tb927.3.3340:mRNA	3', 5'-cyclic nucleotide phosphodiesterase, putative	Tb927.3.3340	
Tb927.3.3360	Tb927.3.3360:mRNA	acyltransferase, putative	Tb927.3.3360	
Tb927.3.3380	Tb927.3.3380:mRNA	TFIIF-stimulated CTD phosphatase, putative	Tb927.3.3380	
Tb927.3.3410	Tb927.3.3410:mRNA	aspartyl aminopeptidase, putative	Tb927.3.3410	
Tb927.3.3430	Tb927.3.3430:mRNA	hypothetical protein, conserved	Tb927.3.3430	
Tb927.3.3440	Tb927.3.3440:mRNA	phytanoyl-CoA dioxygenase (PhyH), putative	Tb927.3.3440	
Tb927.3.3450	Tb927.3.3450:mRNA	ADP-ribosylation factor-like protein 3, putative	Tb927.3.3450	
Tb927.3.3460	Tb927.3.3460:mRNA	succinate dehydrogenase flavoprotein subunit, putative	Tb927.3.3460	
Tb927.3.3470	Tb927.3.3470:mRNA	cytochrome b5, putative	Tb927.3.3470	
Tb927.3.3480	Tb927.3.3480:mRNA	U2 small nuclear ribonucleoprotein B, putative	Tb927.3.3480	
Tb927.3.3490	Tb927.3.3490:mRNA	High mobility group protein TDP1	Tb927.3.3490	
Tb927.3.3500	Tb927.3.3500:mRNA	hypothetical protein, conserved	Tb927.3.3500	
Tb927.3.3510	Tb927.3.3510:mRNA	hypothetical protein, conserved	Tb927.3.3510	
Tb927.3.3550	Tb927.3.3550:mRNA	hypothetical protein, conserved	Tb927.3.3550	
Tb927.3.3580	Tb927.3.3580:mRNA	heat shock protein 90, putative	Tb927.3.3580	
Tb927.3.3590	Tb927.3.3590:mRNA	U3 small nucleolar ribonucleoprotein protein MPP10, putative	Tb927.3.3590	
Tb927.3.3610	Tb927.3.3610:mRNA	peroxisomal targeting signal 2 receptor, putative	Tb927.3.3610	
Tb927.3.3620	Tb927.3.3620:mRNA	SUMO-interacting motif-containing protein	Tb927.3.3620	
Tb927.3.3630	Tb927.3.3630:mRNA	Elongation factor Ts, mitochondrial, putative	Tb927.3.3630	
Tb927.3.3640	Tb927.3.3640:mRNA	bardet-biedl syndrome 7 protein	Tb927.3.3640	
Tb927.3.3690	Tb927.3.3690:mRNA	flagellar radial spoke protein-like, putative	Tb927.3.3690	
Tb927.3.3700	Tb927.3.3700:mRNA	hypothetical protein	Tb927.3.3700	
Tb927.3.3730	Tb927.3.3730:mRNA	ABC transporter, putative	Tb927.3.3730	
Tb927.3.3740	Tb927.3.3740:mRNA	Zinc-finger double-stranded RNA-binding, putative	Tb927.3.3740	
Tb927.3.3750	Tb927.3.3750:mRNA	paraflagellar rod component, putative	Tb927.3.3750	
Tb927.3.3760	Tb927.3.3760:mRNA	tryparedoxin 1b, putative	Tb927.3.3760	
Tb927.3.3800	Tb927.3.3800.1:mRNA	hypothetical protein, conserved	Tb927.3.3800	
Tb927.3.3800	Tb927.3.3800.2:mRNA	hypothetical protein, conserved	Tb927.3.3800	
Tb927.3.3810	Tb927.3.3810:mRNA	Etoposide-induced protein 2.4 (EI24), putative	Tb927.3.3810	
Tb927.3.3820	Tb927.3.3820:mRNA	hypothetical protein, conserved	Tb927.3.3820	
Tb927.3.3830	Tb927.3.3830:mRNA	hypothetical protein, conserved	Tb927.3.3830	
Tb927.3.3840	Tb927.3.3840:mRNA	Family of unknown function (DUF572), putative	Tb927.3.3840	
Tb927.3.3860	Tb927.3.3860:mRNA	triacylglycerol lipase, putative	Tb927.3.3860	
Tb927.3.3870	Tb927.3.3870:mRNA	lipase domain protein, putative	Tb927.3.3870	
Tb927.3.3880	Tb927.3.3880:mRNA	hypothetical protein, conserved	Tb927.3.3880	
Tb927.3.3890	Tb927.3.3890:mRNA	hypothetical protein, conserved	Tb927.3.3890	
Tb927.3.3900	Tb927.3.3900:mRNA	carnitine O-palmitoyltransferase II, putative	Tb927.3.3900	
Tb927.3.3910	Tb927.3.3910:mRNA	DNA-directed RNA polymerase III subunit RPC6	Tb927.3.3910	
Tb927.3.3920	Tb927.3.3920:mRNA	Aurora kinase 2, putative	Tb927.3.3920	
Tb927.3.3930	Tb927.3.3930:mRNA	RNA-binding protein	Tb927.3.3930	
Tb927.3.3950	Tb927.3.3950:mRNA	hypothetical protein, conserved	Tb927.3.3950	
Tb927.3.3980	Tb927.3.3980:mRNA	hypothetical protein, conserved	Tb927.3.3980	
Tb927.3.4000	Tb927.3.4000:mRNA	clathrin coat assembly protein ap19, putative	Tb927.3.4000	
Tb927.3.4010	Tb927.3.4010:mRNA	hypothetical protein	Tb927.3.4010	
Tb927.3.4020	Tb927.3.4020:mRNA	phosphatidylinositol 4-kinase alpha, putative	Tb927.3.4020	
Tb927.3.4040	Tb927.3.4040:mRNA	Ankyrin repeats (3 copies), putative	Tb927.3.4040	
Tb927.3.4050	Tb927.3.4050:mRNA	hypothetical protein, conserved	Tb927.3.4050	
Tb927.3.4060	Tb927.3.4060:mRNA	asparagine synthetase domain-containing protein 1	Tb927.3.4060	
Tb927.3.4080	Tb927.3.4080:mRNA	Pyruvate transporter, putative	Tb927.3.4080	
Tb927.3.4110	Tb927.3.4110:mRNA	Pyruvate transporter, putative	Tb927.3.4110	
Tb927.3.4120	Tb927.3.4120:mRNA	hypothetical protein, conserved	Tb927.3.4120	
Tb927.3.4130	Tb927.3.4130:mRNA	hypothetical protein, conserved	Tb927.3.4130	
Tb927.3.4150	Tb927.3.4150:mRNA	hypothetical protein, conserved	Tb927.3.4150	
Tb927.3.4160	Tb927.3.4160:mRNA	XPC-binding domain/UBA/TS-N domain containing protein, putative	Tb927.3.4160	
Tb927.3.4170	Tb927.3.4170:mRNA	CRK9-associated protein	Tb927.3.4170	
Tb927.3.4180	Tb927.3.4180:mRNA	hypothetical protein	Tb927.3.4180	
Tb927.3.4190	Tb927.3.4190:mRNA	endosomal integral membrane protein, putative	Tb927.3.4190	
Tb927.3.4200	Tb927.3.4200:mRNA	Integral membrane protein S linking to the trans Golgi network, putative	Tb927.3.4200	
Tb927.3.4210	Tb927.3.4210:mRNA	hypothetical protein, conserved	Tb927.3.4210	
Tb927.3.4220	Tb927.3.4220:mRNA	Zn-finger domain protein, putative	Tb927.3.4220	
Tb927.3.4230	Tb927.3.4230:mRNA	serine peptidase, clan SB, family S8-like protein	Tb927.3.4230	
Tb927.3.4240	Tb927.3.4240:mRNA	thioredoxin, putative	Tb927.3.4240	
Tb927.3.4270	Tb927.3.4270:mRNA	hypothetical protein, conserved	Tb927.3.4270	
Tb927.3.4280	Tb927.3.4280:mRNA	mismatch repair protein MSH5, putative	Tb927.3.4280	
Tb927.3.4290	Tb927.3.4290:mRNA	Paraflagellar rod protein 1-1	Tb927.3.4290	
Tb927.3.4410	Tb927.3.4410:mRNA	pre-RNA processing PIH1/Nop17, putative	Tb927.3.4410	
Tb927.3.4420	Tb927.3.4420:mRNA	hypothetical protein, conserved	Tb927.3.4420	
Tb927.3.4430	Tb927.3.4430:mRNA	hypothetical protein, conserved	Tb927.3.4430	
Tb927.3.4440	Tb927.3.4440:mRNA	hypothetical protein, conserved	Tb927.3.4440	
Tb927.3.4450	Tb927.3.4450:mRNA	hypothetical protein, conserved	Tb927.3.4450	
Tb927.3.4460	Tb927.3.4460:mRNA	hypothetical protein, conserved	Tb927.3.4460	
Tb927.3.4470	Tb927.3.4470:mRNA	hypothetical protein, conserved	Tb927.3.4470	
Tb927.3.4480	Tb927.3.4480:mRNA	hypothetical protein, conserved	Tb927.3.4480	
Tb927.3.4490	Tb927.3.4490:mRNA	protein farnesyltransferase alpha subunit, putative	Tb927.3.4490	
Tb927.3.4500	Tb927.3.4500:mRNA	Fumarate hydratase class I, cytosolic	Tb927.3.4500	
Tb927.3.4520	Tb927.3.4520:mRNA	hypothetical protein, conserved	Tb927.3.4520	
Tb927.3.4530	Tb927.3.4530:mRNA	hypothetical protein, conserved	Tb927.3.4530	
Tb927.3.4550	Tb927.3.4550:mRNA	kinetoplast ribosomal PPR-repeat containing protein 6	Tb927.3.4550	
Tb927.3.4560	Tb927.3.4560:mRNA	5'-AMP-activated protein kinase catalytic subunit alpha, putative	Tb927.3.4560	
Tb927.3.4570	Tb927.3.4570:mRNA	N-acetylglucosamyl transferase component GPI1, putative	Tb927.3.4570	
Tb927.3.4580	Tb927.3.4580:mRNA	hypothetical protein, conserved	Tb927.3.4580	
Tb927.3.4590	Tb927.3.4590:mRNA	hypothetical protein, conserved	Tb927.3.4590	
Tb927.3.4600	Tb927.3.4600:mRNA	hypothetical protein, conserved	Tb927.3.4600	
Tb927.3.4610	Tb927.3.4610:mRNA	Right handed beta helix region, putative	Tb927.3.4610	
Tb927.3.4630	Tb927.3.4630:mRNA	UDP-glucose:glycoprotein glucosyltransferase, putative	Tb927.3.4630	
Tb927.3.4650	Tb927.3.4650:mRNA	C-8 sterol isomerase, putative	Tb927.3.4650	
Tb927.3.4660	Tb927.3.4660:mRNA	WD domain, G-beta repeat, putative	Tb927.3.4660	
Tb927.3.4670	Tb927.3.4670:mRNA	cdc2-related kinase 10, putative	Tb927.3.4670	
Tb927.3.4680	Tb927.3.4680:mRNA	RAB GDP dissociation inhibitor alpha, putative	Tb927.3.4680	
Tb927.3.4700	Tb927.3.4700.1	Domain of unknown function (DUF4379), putative	Tb927.3.4700	
Tb927.3.4700	Tb927.3.4700.2	Domain of unknown function (DUF4379), putative	Tb927.3.4700	
Tb927.3.4710	Tb927.3.4710:mRNA	Flagellum attachment zone protein 23	Tb927.3.4710	
Tb927.3.4720	Tb927.3.4720:mRNA	dynamin-1-like protein	Tb927.3.4720	
Tb927.3.4740	Tb927.3.4740:mRNA	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus, putative	Tb927.3.4740	
Tb927.3.4750	Tb927.3.4750:mRNA	Aminopeptidase M1, putative	Tb927.3.4750	
Tb927.3.4760	Tb927.3.4760:mRNA	dynamin-1-like protein	Tb927.3.4760	
Tb927.3.4800	Tb927.3.4800:mRNA	hypothetical protein, conserved	Tb927.3.4800	
Tb927.3.4810	Tb927.3.4810.1:mRNA	dna replication complex gins protein sld5	Tb927.3.4810	
Tb927.3.4810	Tb927.3.4810.2:mRNA	dna replication complex gins protein sld5	Tb927.3.4810	
Tb927.3.4820	Tb927.3.4820:mRNA	acyltransferase, putative	Tb927.3.4820	
Tb927.3.4860	Tb927.3.4860:mRNA	mitogen-activated protein kinase kinase 1	Tb927.3.4860	
Tb927.3.4880	Tb927.3.4880:mRNA	nucleosome assembly protein (NAP), putative	Tb927.3.4880	
Tb927.3.4890	Tb927.3.4890:mRNA	ubiquinone biosynthesis protein COQ7 homolog, putative	Tb927.3.4890	
Tb927.3.4900	Tb927.3.4900:mRNA	tRNA isopentenyltransferase, putative	Tb927.3.4900	
Tb927.3.4930	Tb927.3.4930:mRNA	hypothetical protein, conserved	Tb927.3.4930	
Tb927.3.4940	Tb927.3.4940:mRNA	5-histidylcysteine sulfoxide synthase, putative	Tb927.3.4940	
Tb927.3.4950	Tb927.3.4950:mRNA	hypothetical protein, conserved	Tb927.3.4950	
Tb927.3.4960	Tb927.3.4960:mRNA	kinesin, putative	Tb927.3.4960	
Tb927.3.4970	Tb927.3.4970:mRNA	hypothetical protein, conserved	Tb927.3.4970	
Tb927.3.4990	Tb927.3.4990:mRNA	oxidoreductase, putative	Tb927.3.4990	
Tb927.3.5000	Tb927.3.5000:mRNA	hypothetical protein, conserved	Tb927.3.5000	
Tb927.3.5020	Tb927.3.5020:mRNA	Flagellar Member 6	Tb927.3.5020	
Tb927.3.5030	Tb927.3.5030:mRNA	KU70 protein	Tb927.3.5030	
Tb927.3.5040	Tb927.3.5040:mRNA	hypothetical protein, conserved	Tb927.3.5040	
Tb927.3.5050	Tb927.3.5050:mRNA	60S ribosomal protein L4	Tb927.3.5050	
Tb927.3.5070	Tb927.3.5070:mRNA	hypothetical protein, conserved	Tb927.3.5070	
Tb927.3.5080	Tb927.3.5080:mRNA	PSP1 C-terminal conserved region, putative	Tb927.3.5080	
Tb927.3.510	Tb927.3.510:mRNA	hypothetical protein, conserved	Tb927.3.510	
Tb927.3.5100	Tb927.3.5100:mRNA	tfiih basal transcription factor complex helicase xpb subunit	Tb927.3.5100	
Tb927.3.5110	Tb927.3.5110:mRNA	hypothetical protein, conserved	Tb927.3.5110	
Tb927.3.5120	Tb927.3.5120:mRNA	Ankyrin repeats (3 copies), putative	Tb927.3.5120	
Tb927.3.5130	Tb927.3.5130:mRNA	exonuclease, putative	Tb927.3.5130	
Tb927.3.5140	Tb927.3.5140:mRNA	exonuclease, putative	Tb927.3.5140	
Tb927.3.5150	Tb927.3.5150:mRNA	exonuclease, putative	Tb927.3.5150	
Tb927.3.5160	Tb927.3.5160:mRNA	Basal body protein	Tb927.3.5160	
Tb927.3.5220	Tb927.3.5220:mRNA	hypothetical protein, conserved	Tb927.3.5220	
Tb927.3.5230	Tb927.3.5230:mRNA	DNA repair protein, putative	Tb927.3.5230	
Tb927.3.5250	Tb927.3.5250:mRNA	Zinc finger CCCH domain-containing protein 8	Tb927.3.5250	
Tb927.3.5270	Tb927.3.5270:mRNA	DNA-directed RNA polymerases II subunit, putative	Tb927.3.5270	
Tb927.3.5280	Tb927.3.5280:mRNA	spliceosome-associated protein 49, putative	Tb927.3.5280	
Tb927.3.5290	Tb927.3.5290:mRNA	hypothetical protein, conserved	Tb927.3.5290	
Tb927.3.5300	Tb927.3.5300:mRNA	hypothetical protein, conserved	Tb927.3.5300	
Tb927.3.5310	Tb927.3.5310:mRNA	paraflagellar rod protein	Tb927.3.5310	
Tb927.3.5320	Tb927.3.5320:mRNA	UBX domain-containing protein	Tb927.3.5320	
Tb927.3.5330	Tb927.3.5330:mRNA	centaurin beta 5	Tb927.3.5330	
Tb927.3.5340	Tb927.3.5340:mRNA	Hsc70-interacting protein (Hip), putative	Tb927.3.5340	
Tb927.3.5350	Tb927.3.5350:mRNA	hypothetical protein, conserved	Tb927.3.5350	
Tb927.3.5370	Tb927.3.5370:mRNA	hypothetical protein, conserved	Tb927.3.5370	
Tb927.3.5380	Tb927.3.5380:mRNA	Tubulin-tyrosine ligase family, putative	Tb927.3.5380	
Tb927.3.5390	Tb927.3.5390:mRNA	Ring finger domain containing protein, putative	Tb927.3.5390	
Tb927.3.5400	Tb927.3.5400:mRNA	serine/threonine protein kinase RIO1, putative	Tb927.3.5400	
Tb927.3.5410	Tb927.3.5410:mRNA	hypothetical protein, conserved	Tb927.3.5410	
Tb927.3.5420	Tb927.3.5420:mRNA	protein transport protein Sec24	Tb927.3.5420	
Tb927.3.5430	Tb927.3.5430:mRNA	hypothetical protein, conserved	Tb927.3.5430	
Tb927.3.5450	Tb927.3.5450:mRNA	Basal body protein	Tb927.3.5450	
Tb927.3.5460	Tb927.3.5460:mRNA	RNA-binding protein, putative	Tb927.3.5460	
Tb927.3.5470	Tb927.3.5470:mRNA	hypothetical protein, conserved	Tb927.3.5470	
Tb927.3.5480	Tb927.3.5480:mRNA	hypothetical protein, conserved	Tb927.3.5480	
Tb927.3.5490	Tb927.3.5490:mRNA	Putative intraflagellar transport protein B2	Tb927.3.5490	
Tb927.3.5510	Tb927.3.5510:mRNA	hypothetical protein, conserved	Tb927.3.5510	
Tb927.3.5520	Tb927.3.5520:mRNA	26S proteasome regulatory non-ATPase subunit	Tb927.3.5520	
Tb927.3.5540	Tb927.3.5540:mRNA	dynein intermediate chain WDRD34, putative	Tb927.3.5540	
Tb927.3.5570	Tb927.3.5570:mRNA	syntaxin, putative	Tb927.3.5570	
Tb927.3.5590	Tb927.3.5590:mRNA	hypothetical protein, conserved	Tb927.3.5590	
Tb927.3.5610	Tb927.3.5610:mRNA	Mitochondrial ribosomal protein L3	Tb927.3.5610	
Tb927.3.5620	Tb927.3.5620:mRNA	Facilitates chromatin transcription complex subunit spt16	Tb927.3.5620	
Tb927.3.5630	Tb927.3.5630:mRNA	3,2-trans-enoyl-CoA isomerase, mitochondrial precursor, putative	Tb927.3.5630	
Tb927.3.5640	Tb927.3.5640:mRNA	nuclear transcription factor, putative	Tb927.3.5640	
Tb927.3.5650	Tb927.3.5650:mRNA	STE group serine/threonine-protein kinase, putative	Tb927.3.5650	
Tb927.3.5670	Tb927.3.5670:mRNA	hypothetical protein	Tb927.3.5670	
Tb927.3.5690	Tb927.3.5690:mRNA	hypothetical protein, conserved	Tb927.3.5690	
Tb927.3.5700	Tb927.3.5700:mRNA	hypothetical protein, conserved	Tb927.3.5700	
Tb927.3.5770	Tb927.3.5770:mRNA	hypothetical protein	Tb927.3.5770	
Tb927.3.5780	Tb927.3.5780:mRNA	hypothetical protein	Tb927.3.5780	
Tb927.3.600	Tb927.3.600:mRNA	hypothetical protein	Tb927.3.600	
Tb927.3.630	Tb927.3.630:mRNA	hypothetical protein, conserved	Tb927.3.630	
Tb927.3.650	Tb927.3.650:mRNA	hypothetical protein, conserved	Tb927.3.650	
Tb927.3.660	Tb927.3.660:mRNA	hypothetical protein, conserved	Tb927.3.660	
Tb927.3.690	Tb927.3.690:mRNA	CMGC/RCK protein kinase, putative	Tb927.3.690	
